venue,year,title,authors,tags,primary_area,source,forum_id,paper_page,keep_reason,hit_terms
ICML,2026,WFR-MFM: One-Step Inference for Dynamic Unbalanced Optimal Transport,Xinyu Wang; Ruoyu Wang; Qiangwei Peng; Peijie Zhou; Tiejun Li,"genomics,single_cell",applications->chemistry_physics_and_earth_sciences,openreview_v2,yVGbbB3ERW,https://openreview.net/forum?id=yVGbbB3ERW,chem_bio,"single-cell,perturbation,rna"
ICML,2026,BioAgent Bench: An AI Agent Evaluation Suite for Bioinformatics,Dionizije Fa; Marko Čuljak; Bruno Pandža; Mateo Čupić,"genomics,single_cell,clinical",applications->health_medicine,openreview_v2,2iFauBXg7Y,https://openreview.net/forum?id=2iFauBXg7Y,health_medicine,"rna,variant calling,patient"
ICML,2026,InfoGlobe: Local-and-Global Information-Preserving Statistical Manifold Learning for Single-Cell Transcriptomics,Cheng Wang; Jinpu Cai; Chongxiao Mao; Yuxuan Wang; Xinzhu Jiang; Yunhao Qiao; Luqi Yang; Luting Zhou; Qiuyu Lian; Hongyi Xin,"genomics,single_cell",applications->health_medicine,openreview_v2,LMrsqvShfy,https://openreview.net/forum?id=LMrsqvShfy,health_medicine,"single-cell,scrna-seq,transcriptomic,rna,gene"
ICML,2026,Bipartite Graph Attention-based Clustering for Large-scale scRNA-seq Data,Zhuomin Liang; Liang Bai; Xian Yang,"genomics,single_cell",general_machine_learning->clustering,openreview_v2,EVnMERXEvC,https://openreview.net/forum?id=EVnMERXEvC,title_strong_bio,"scrna-seq,single-cell,gene expression,rna,gene"
ICML,2026,High-Dimensional Sensitivity Analysis for Genomic Studies: An Adversarial Framework for Learning Worst-Case Latent Confounders,Yifan Lin; Kevin Z. Lin,"genomics,single_cell,clinical",applications->health_medicine,openreview_v2,Pt4aUwYJCu,https://openreview.net/forum?id=Pt4aUwYJCu,health_medicine,"single-cell,genomics,gene,genes,disease"
ICML,2026,GENEB: Why Genomic Models Are Hard to Compare,Daria Ledneva; Mikhail Nuridinov; Denis Kuznetsov,"genomics,clinical",applications->chemistry_physics_and_earth_sciences,openreview_v2,uZerXmyozE,https://openreview.net/forum?id=uZerXmyozE,chem_bio,"genomic,diagnostic"
ICML,2026,Flow-Based Density Ratio Estimation for Intractable Distributions with Applications in Genomics,Egor Antipov; Alessandro Palma; Lorenzo Consoli; Stephan Günnemann; Andrea Dittadi; Fabian J Theis,"genomics,single_cell",applications->health_medicine,openreview_v2,5zbPdMNcl9,https://openreview.net/forum?id=5zbPdMNcl9,health_medicine,"single-cell,genomics"
ICML,2026,Beyond Independent Genes: Learning Module-Inductive Representations for Single-Cell Gene Perturbation Prediction,Jiafa Ruan; Ruijie Quan; Xu Liyang; Zongxin Yang; Yi Yang,"genomics,single_cell",applications->health_medicine,openreview_v2,onuLk72nRw,https://openreview.net/forum?id=onuLk72nRw,health_medicine,"single-cell,perturbation,single cell,genomics,gene,genes"
ICML,2026,Supervised Graph Contrastive Learning for Gene Regulatory Networks,Sho Oshima; Yuji Okamoto; Taisei Tosaki; Ryosuke Kojima,"oncology,genomics,single_cell",deep_learning->selfsupervised_learning,openreview_v2,0Y7itV1kb7,https://openreview.net/forum?id=0Y7itV1kb7,title_strong_bio,"gene,patient,disease,cancer"
ICML,2026,HEXST: Hexagonal Shifted-Window Transformer for Spatial Transcriptomics Gene Expression Prediction,Keunho Byeon; Jin Tae Kwak,"genomics,single_cell,medical_imaging",applications->health_medicine,openreview_v2,UwPbsFk2Dh,https://openreview.net/forum?id=UwPbsFk2Dh,title_strong_bio,"gene expression,single-cell,gene,transcriptomic,histopathology"
ICML,2026,Towards Universal Gene Regulatory Network Inference: Unlocking Generalizable Regulatory Knowledge in Single-cell Foundation Models,Jiaxin Qi; Hang Li; Yan Cui; Yuhua Zheng; Jianqiang Huang,"genomics,single_cell",applications->health_medicine,openreview_v2,dilKIGbrZu,https://openreview.net/forum?id=dilKIGbrZu,title_strong_bio,"single-cell,perturbation,transcriptomic,genes,gene"
ICML,2026,Interpretable Neural ODEs for Gene Regulatory Network Discovery under Perturbations,Zaikang Lin; Sei Chang; Aaron Zweig; Minseo Kang; Fabian J Theis; Elham Azizi; David A. Knowles,"genomics,single_cell",applications->chemistry_physics_and_earth_sciences,openreview_v2,nG9bsQq2N6,https://openreview.net/forum?id=nG9bsQq2N6,title_strong_bio,"cell state,perturbation,single-cell,genes,gene,rna"
ICML,2026,FLAG: Foundation model representation with Latent diffusion Alignment via Graph for spatial gene expression prediction,Qi Si; Penglei Wang; Yushuai Wu; Yifeng Jiao; Xuyang Liu; Xin Guo; Yuan Qi; Yuan Cheng,"genomics,medical_imaging",applications->health_medicine,openreview_v2,yY7rywRtlI,https://openreview.net/forum?id=yY7rywRtlI,title_strong_bio,"gene expression,gene,whole-slide,histopathology"
ICML,2026,Scalable Single-Cell Gene Expression Generation with Latent Diffusion Models,Giovanni Palla; Sudarshan Babu; Payam Dibaeinia; James D Pearce; Donghui Li; Aly A Khan; Theofanis Karaletsos; Jakub M. Tomczak,"genomics,single_cell",deep_learning->generative_models_and_autoencoders,openreview_v2,IRwg87oeJo,https://openreview.net/forum?id=IRwg87oeJo,title_strong_bio,"single-cell,gene expression,scrna-seq,gene,genes"
ICML,2026,MoLF: Mixture-of-Latent-Flow for Pan-Cancer Spatial Gene Expression Prediction from Histology,Susu Hu; Stefanie Speidel,"oncology,genomics,medical_imaging",applications->health_medicine,openreview_v2,SNRYGh6n69,https://openreview.net/forum?id=SNRYGh6n69,title_strong_bio,"gene expression,gene,histopathology,cancer"
ICML,2026,SpaEF: Spatially Resolved Transcriptomics Data Element-Wise Denoising Framework Powered by Large Models,Zekuan Shang; Xiaosong Han; Liupu Wang; Wei Du; Peng Zhao; Yuanshu Li; Yubin Xiao; Xuan Wu; You Zhou,genomics,applications->health_medicine,openreview_v2,QO1uZg4fj4,https://openreview.net/forum?id=QO1uZg4fj4,health_medicine,"gene,genes"
ICML,2026,SPATIA: Multimodal Generation and Prediction of Spatial Cell Phenotypes,Zhenglun Kong; Mufan Qiu; John Boesen; xiang lin; Sukwon Yun; Tianlong Chen; Manolis Kellis; Marinka Zitnik,genomics,applications->health_medicine,openreview_v2,8As2E4z9qt,https://openreview.net/forum?id=8As2E4z9qt,health_medicine,"gene expression,gene"
ICML,2026,Transitive Representation Learning Enhances Histopathology Annotation,Moritz Schaefer; Zoe Piran; Nils Philipp Walter; Animesh Awasthi; Christoph Bock; Jure Leskovec; Zinaida Good,"genomics,single_cell,medical_imaging",applications->health_medicine,openreview_v2,Ze7U293Zw4,https://openreview.net/forum?id=Ze7U293Zw4,health_medicine,"gene expression,single-cell,cell type,gene,histopathology,clinical"
ICML,2026,"DIYHealth Suite: Dataset, Model, and Benchmark for Health Management at Home",Changshuo Liu; Wu Junran; Zhongle Xie; Wenqiao Zhang; Kaiping Zheng; Jiaqi Zhu; Qingpeng Cai; Ooi Gene Anne; Marcus Chun Jin Tan; Jianwei Yin; James Wei Luen Yip; Beng Chin Ooi,clinical,applications->health_medicine,openreview_v2,xbAWn0w9kq,https://openreview.net/forum?id=xbAWn0w9kq,health_medicine,"healthcare,hospital,clinical"
ICML,2026,HiST: A Hierarchical Sparse Transformer for Cross-Modal Spatial Transcriptomics Modeling,Weiyi Wu; Xinwen Xu; Xingjian Diao; Siting Li; Zhi Wei; Alma Andersson; Jiang Gui,"genomics,medical_imaging",applications->health_medicine,openreview_v2,ptbzlHzmEv,https://openreview.net/forum?id=ptbzlHzmEv,health_medicine,"gene expression,gene,whole-slide"
ICML,2026,scDEBART: Predicting in silico Single-Cell Perturbation Responses via Large-Scale Differential Expression Learning,Jieun Sung; Wankyu Kim,"molecule,genomics,single_cell",applications->health_medicine,openreview_v2,pJyidZg93y,https://openreview.net/forum?id=pJyidZg93y,health_medicine,"drug,single-cell,perturbation,gene expression,gene,genes,rna"
